Movie Title,Release Year,IMDb Rating,Movie Link,Stream
True Detective,2014,8.9,/in/tv-show/true-detective,Jio Cinema
Indian Police Force,2024,6.0,/in/tv-show/indian-police-force,Amazon Prime Video
Reacher,2022,8.1,/in/tv-show/jack-reacher,Amazon Prime Video
Animal,2023,6.4,/in/movie/animal-2022,"Netflix, Bookmyshow"
Mirzapur,2018,8.5,/in/tv-show/mirzapur,Amazon Prime Video
Game of Thrones,2011,9.2,/in/tv-show/game-of-thrones,Jio Cinema
Salaar,2023,6.5,/in/movie/salaar,"Netflix, Bookmyshow"
Solo Leveling,2024,8.4,/in/tv-show/solo-leveling-2024,Crunchyroll
Panchayat,2020,8.9,/in/tv-show/panchayat,Amazon Prime Video
12th Fail,2023,9.2,/in/movie/12th-fail,"Hotstar, Bookmyshow"
Bigg Boss,2006,3.7,/in/tv-show/bigg-boss,Voot
Death and Other Details,2024,7.0,/in/tv-show/death-and-other-details,Hotstar
The Legend of Hanuman,2021,9.2,/in/tv-show/the-legend-of-hanuman,Hotstar
Yellowstone,2018,8.7,/in/tv-show/yellowstone,Netflix
Killer Soup,2024,6.3,/in/tv-show/killer-soup,Netflix
Jujutsu Kaisen,2020,8.6,/in/tv-show/jujutsu-kaisen,Netflix
Maharani,2021,7.9,/in/tv-show/maharani-2021,Sony Liv
Farzi,2023,8.4,/in/tv-show/farzi,Amazon Prime Video
One Piece,1999,9.0,/in/tv-show/one-piece,Crunchyroll
Berlin,2023,7.0,/in/tv-show/berlin,Netflix
Mr. & Mrs. Smith,2024,6.8,/in/tv-show/mr-and-mrs-smith,Amazon Prime Video
The Last of Us,2023,8.8,/in/tv-show/the-last-of-us,Jio Cinema
Sam Bahadur,2023,7.9,/in/movie/sam-bahadur,"Zee5, Bookmyshow"
Fargo,2014,8.9,/in/tv-show/fargo,
Superman & Lois,2021,7.8,/in/tv-show/superman-and-lois,Amazon Prime Video
Monarch: Legacy of Monsters,2023,7.0,/in/tv-show/monarch-legacy-of-monsters,Apple TV Plus
Money Heist,2017,8.2,/in/tv-show/paperhouse,Netflix
The Bear,2022,8.6,/in/tv-show/the-bear,Hotstar
The Freelancer,2023,8.1,/in/tv-show/the-freelancer,Hotstar
Mastram,2020,7.1,/in/tv-show/mastram,
Griselda,2024,7.3,/in/tv-show/griselda,Netflix
My Demon,2023,7.8,/in/tv-show/my-demon,Netflix
Marry My Husband,2024,8.2,/in/tv-show/marry-my-husband,Amazon Prime Video
Ek Thi Begum,2020,8.6,/in/tv-show/ek-thi-begum,MX Player
Masters of the Air,2024,8.0,/in/tv-show/masters-of-the-air,Apple TV Plus
Love Never Lies: Poland,2022,,/in/tv-show/love-never-lies-poland,Netflix
Loki,2021,8.2,/in/tv-show/loki,Hotstar
Succession,2018,8.9,/in/tv-show/succession,Jio Cinema
Aashram,2020,7.4,/in/tv-show/aashram,MX Player
Aquaman and the Lost Kingdom,2023,5.7,/in/movie/aquaman-and-the-lost-kingdom,"Bookmyshow, Apple TV, Apple TV"
Scam 1992,2020,9.3,/in/tv-show/scam-1992,Sony Liv
The Railway Men - The Untold Story of Bhopal 1984,2023,8.5,/in/tv-show/the-railway-men-the-untold-story-of-bhopal-1984,Netflix
Gandii Baat,2018,3.4,/in/tv-show/gandii-baat,Alt Balaji
Shark Tank India,2021,8.7,/in/tv-show/shark-tank-india,Sony Liv
House,2004,8.7,/in/tv-show/house,Netflix
Aarya,2020,7.9,/in/tv-show/aarya,Hotstar
Breaking Bad,2008,9.5,/in/tv-show/breaking-bad,Netflix
Gullak,2019,9.1,/in/tv-show/gullak,Sony Liv
ted,2024,8.0,/in/tv-show/ted,
Flames,2018,8.9,/in/tv-show/flames,Amazon Prime Video
Hanu-Man,2024,8.5,/in/movie/hanu-man,
Percy Jackson and the Olympians,2023,7.2,/in/tv-show/percy-jackson-and-the-olympians,
Expats,2024,5.9,/in/tv-show/expats,Amazon Prime Video
Taaza Khabar,2023,8.1,/in/tv-show/taaza-khabar,Hotstar
The Family Man,2019,8.7,/in/tv-show/the-family-man,Amazon Prime Video
Halo,2022,7.2,/in/tv-show/halo,Voot
Oppenheimer,2023,8.4,/in/movie/oppenheimer,"Amazon Video, Apple TV"
Dunki,2023,7.2,/in/movie/dunki,Bookmyshow
Dehati Ladke,2023,7.1,/in/tv-show/dehati-ladke,Amazon miniTV
Fool Me Once,2024,6.8,/in/tv-show/fool-me-once,Netflix
Euphoria,2019,8.3,/in/tv-show/euphoria,Jio Cinema
Spartacus,2010,8.5,/in/tv-show/spartacus,Lionsgate Play
Dark Desire,2020,6.5,/in/tv-show/dark-desire,Netflix
What If...?,2021,7.5,/in/tv-show/what-if-2021,Hotstar
Hi Nanna,2023,8.3,/in/movie/nani30,"Netflix, Bookmyshow"
Lucifer,2016,8.1,/in/tv-show/lucifer,Netflix
Death's Game,2023,8.7,/in/tv-show/deaths-game,Amazon Prime Video
Modern Family,2009,8.5,/in/tv-show/modern-family,Hotstar
Scam 2003: The Telgi Story,2023,7.9,/in/tv-show/scam-2003-the-telgi-story,Sony Liv
House of the Dragon,2022,8.4,/in/tv-show/house-of-the-dragon,Jio Cinema
Guntur Kaaram,2024,5.9,/in/movie/ssmb-28,"Netflix, Bookmyshow"
Aspirants,2021,9.2,/in/tv-show/aspirants,Amazon Prime Video
Friends,1994,8.9,/in/tv-show/friends,Netflix
Killers of the Flower Moon,2023,7.7,/in/movie/killers-of-the-flower-moon,"Apple TV Plus, Apple TV"
Peaky Blinders,2013,8.8,/in/tv-show/peaky-blinders,Netflix
Mission: Impossible - Dead Reckoning Part One,2023,7.7,/in/movie/mission-impossible-7,"Amazon Prime Video, Amazon Video, Apple TV"
Devil,2023,6.7,/in/movie/devil-2023,"Amazon Prime Video, Bookmyshow, Amazon Video"
Asur: Welcome to Your Dark Side,2020,8.5,/in/tv-show/asur,Jio Cinema
Sapta Sagaradaache Ello: Side B,2023,8.1,/in/movie/sapta-sagaradaache-ello-side-b,Amazon Prime Video
Tiger 3,2023,5.8,/in/movie/tiger-3,"Amazon Prime Video, Bookmyshow"
The Boys,2019,8.7,/in/tv-show/the-boys,Amazon Prime Video
The Kerala Story,2023,7.1,/in/movie/the-kerala-story,
Detective Forst,2024,5.5,/in/tv-show/detective-forst,Netflix
Parking,2023,7.9,/in/movie/parking-2023,Hotstar
Kübra,2024,6.3,/in/tv-show/kubra,Netflix
Mashle: Magic and Muscles,2023,7.5,/in/tv-show/mashle-magic-and-muscles,Crunchyroll
Stranger Things,2016,8.7,/in/tv-show/stranger-things,Netflix
Neru,2023,7.7,/in/movie/neru,"Hotstar, Bookmyshow"
Naruto Shippūden,2007,8.7,/in/tv-show/naruto-shippuden,Netflix
Better Call Saul,2015,9.0,/in/tv-show/better-call-saul,Netflix
The Marvels,2023,5.6,/in/movie/the-marvels,"Hotstar, Apple TV"
One-Punch Man,2015,8.7,/in/tv-show/one-punch-man,Netflix
Criminal Record,2024,7.2,/in/tv-show/criminal-record,Apple TV Plus
Koffee with Karan,2004,6.4,/in/tv-show/koffee-with-karan,Hotstar
The Curse,2023,7.2,/in/tv-show/the-curse,Lionsgate Play
